Generation,TotalOrganisms,AverageFitness,FitnessVariance,SelectedGenes,NeutralGenes,NeutralDiversity,SelectedDiversity
365,1000,1.044078,0.001990,3000,7000,0.000000,0.000000
366,1000,1.044846,0.002037,3000,7000,0.000000,0.000000
367,1000,1.045002,0.001892,3000,7000,0.000000,0.000000
368,1000,1.046103,0.001899,3000,7000,0.000000,0.000000
369,1000,1.044024,0.001865,3000,7000,0.000000,0.000000
370,1000,1.042452,0.001768,3000,7000,0.000000,0.000000
371,1000,1.043392,0.001706,3000,7000,0.000000,0.000000
372,1000,1.044429,0.001748,3000,7000,0.000000,0.000000
373,1000,1.044588,0.001725,3000,7000,0.000000,0.000000
374,1000,1.045425,0.001726,3000,7000,0.000000,0.000000
375,1000,1.045918,0.001747,3000,7000,0.000000,0.000000
376,1000,1.046756,0.001720,3000,7000,0.000000,0.000000
377,1000,1.046864,0.001723,3000,7000,0.000000,0.000000
378,1000,1.047187,0.001851,3000,7000,0.000000,0.000000
379,1000,1.045319,0.001883,3000,7000,0.000000,0.000000
380,1000,1.044259,0.001898,3000,7000,0.000000,0.000000
381,1000,1.044992,0.001923,3000,7000,0.000000,0.000000
382,1000,1.043825,0.001957,3000,7000,0.000000,0.000000
383,1000,1.044306,0.001943,3000,7000,0.000000,0.000000
384,1000,1.043388,0.001987,3000,7000,0.000000,0.000000
385,1000,1.042694,0.002050,3000,7000,0.000000,0.000000
386,1000,1.042954,0.001969,3000,7000,0.000000,0.000000
387,1000,1.041571,0.001986,3000,7000,0.000000,0.000000
388,1000,1.041848,0.002096,3000,7000,0.000000,0.000000
389,1000,1.041878,0.002027,3000,7000,0.000000,0.000000
390,1000,1.041015,0.001999,3000,7000,0.000000,0.000000
391,1000,1.040372,0.001873,3000,7000,0.000000,0.000000
392,1000,1.040456,0.001858,3000,7000,0.000000,0.000000
393,1000,1.040870,0.001863,3000,7000,0.000000,0.000000
394,1000,1.041744,0.001827,3000,7000,0.000000,0.000000
395,1000,1.040993,0.001733,3000,7000,0.000000,0.000000
396,1000,1.042277,0.001761,3000,7000,0.000000,0.000000
397,1000,1.041014,0.001653,3000,7000,0.000000,0.000000
398,1000,1.041678,0.001663,3000,7000,0.000000,0.000000
399,1000,1.041473,0.001649,3000,7000,0.000000,0.000000
400,1000,1.041417,0.001626,3000,7000,0.000000,0.000000
401,1000,1.042373,0.001671,3000,7000,0.000000,0.000000
402,1000,1.042374,0.001614,3000,7000,0.000000,0.000000
403,1000,1.042624,0.001508,3000,7000,0.000000,0.000000
404,1000,1.043362,0.001480,3000,7000,0.000000,0.000000
405,1000,1.044500,0.001590,3000,7000,0.000000,0.000000
406,1000,1.044100,0.001617,3000,7000,0.000000,0.000000
407,1000,1.044136,0.001598,3000,7000,0.000000,0.000000
408,1000,1.044488,0.001589,3000,7000,0.000000,0.000000
409,1000,1.045384,0.001635,3000,7000,0.000000,0.000000
410,1000,1.045011,0.001586,3000,7000,0.000000,0.000000
411,1000,1.043754,0.001557,3000,7000,0.000000,0.000000
412,1000,1.042698,0.001532,3000,7000,0.000000,0.000000
413,1000,1.042217,0.001503,3000,7000,0.000000,0.000000
414,1000,1.043216,0.001552,3000,7000,0.000000,0.000000
415,1000,1.043599,0.001515,3000,7000,0.000000,0.000000
416,1000,1.043724,0.001608,3000,7000,0.000000,0.000000
417,1000,1.042395,0.001559,3000,7000,0.000000,0.000000
418,1000,1.042208,0.001641,3000,7000,0.000000,0.000000
419,1000,1.041229,0.001506,3000,7000,0.000000,0.000000
420,1000,1.041931,0.001548,3000,7000,0.000000,0.000000
421,1000,1.042689,0.001555,3000,7000,0.000000,0.000000
422,1000,1.042900,0.001515,3000,7000,0.000000,0.000000
423,1000,1.042833,0.001501,3000,7000,0.000000,0.000000
424,1000,1.042920,0.001486,3000,7000,0.000000,0.000000
425,1000,1.043030,0.001466,3000,7000,0.000000,0.000000
426,1000,1.042841,0.001391,3000,7000,0.000000,0.000000
427,1000,1.043045,0.001410,3000,7000,0.000000,0.000000
428,1000,1.042860,0.001411,3000,7000,0.000000,0.000000
429,1000,1.043686,0.001382,3000,7000,0.000000,0.000000
430,1000,1.043006,0.001332,3000,7000,0.000000,0.000000
431,1000,1.042532,0.001321,3000,7000,0.000000,0.000000
432,1000,1.043134,0.001288,3000,7000,0.000000,0.000000
433,1000,1.043618,0.001315,3000,7000,0.000000,0.000000
434,1000,1.043593,0.001366,3000,7000,0.000000,0.000000
435,1000,1.043961,0.001389,3000,7000,0.000000,0.000000
436,1000,1.042135,0.001317,3000,7000,0.000000,0.000000
437,1000,1.044396,0.001383,3000,7000,0.000000,0.000000
438,1000,1.043863,0.001361,3000,7000,0.000000,0.000000
439,1000,1.044300,0.001347,3000,7000,0.000000,0.000000
440,1000,1.044507,0.001325,3000,7000,0.000000,0.000000
441,1000,1.045512,0.001322,3000,7000,0.000000,0.000000
